Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,"99,10%","100,13%","101,87%","89,47%","20,00%","100,00%","65,22%","94,83%","97,46%"
21-01-08,"89,96%","91,08%","92,84%","78,26%","20,00%","100,00%","56,00%","94,50%","91,82%"
21-01-10,"89,02%","89,35%","90,14%","94,92%","40,00%","37,50%","80,00%","85,00%","87,35%"
21-01-12,"95,93%","95,76%","97,96%","83,10%","60,00%","37,50%","100,00%","89,98%","93,45%"
21-01-14,"103,46%","104,45%","110,87%","61,11%","70,00%","37,50%","83,33%","80,93%","93,19%"
21-01-16,"111,45%","113,23%","126,16%","50,51%","60,00%","7,69%","84,21%","86,13%","100,62%"
21-01-18,"105,74%","110,06%","118,60%","71,95%","40,00%","4,00%","90,00%","74,93%","92,87%"
21-01-20,"106,70%","111,29%","119,69%","62,50%","100,00%","16,00%","73,21%","85,08%","98,20%"
21-01-22,"104,00%","112,43%","119,84%","70,27%","100,00%","24,00%","68,52%","82,01%","95,03%"
21-01-24,"101,06%","109,72%","117,85%","58,11%","100,00%","24,00%","62,30%","81,41%","93,09%"
21-01-26,"90,96%","96,87%","101,63%","63,08%","100,00%","20,00%","61,40%","91,55%","91,18%"
21-01-27,"91,65%","99,58%","107,02%","56,00%","100,00%","12,12%","31,58%","92,63%","92,02%"
21-01-29,"95,65%","91,41%","99,52%","50,98%","90,00%","14,71%","40,35%","90,53%","93,98%"
21-01-31,"95,54%","94,05%","101,56%","50,59%","70,00%","16,67%","53,73%","87,82%","93,07%"
21-02-01,"95,70%","94,51%","102,09%","55,91%","70,00%","16,67%","43,86%","75,49%","88,29%"
21-02-02,"91,73%","92,02%","98,59%","61,46%","100,00%","11,76%","40,35%","73,93%","85,43%"
21-02-06,"86,50%","86,57%","93,87%","48,96%","60,00%","14,71%","20,69%","80,99%","84,94%"
21-02-07,"86,17%","89,80%","97,37%","47,31%","80,00%","14,71%","24,49%","79,70%","84,34%"
21-02-08,"82,07%","86,33%","94,33%","40,66%","80,00%","2,94%","37,50%","76,13%","80,41%"
21-02-10,"76,43%","83,14%","92,61%","30,84%","70,00%","2,94%","17,24%","72,19%","75,28%"
21-02-11,"75,76%","84,78%","94,78%","31,13%","70,00%","2,94%","25,53%","69,96%","74,22%"
21-02-12,"77,22%","82,06%","90,98%","36,00%","40,00%","2,94%","42,86%","72,81%","76,08%"
21-02-14,"78,05%","84,97%","92,63%","42,39%","70,00%","5,88%","34,62%","72,85%","76,75%"
21-02-15,"74,08%","81,23%","89,68%","37,50%","40,00%","0,00%","30,56%","74,70%","74,23%"
21-02-16,"71,49%","82,00%","86,98%","39,42%","70,00%","0,00%","18,46%","74,86%","72,22%"
21-02-18,"72,42%","79,30%","88,67%","32,69%","30,00%","3,13%","27,59%","70,76%","72,05%"
21-02-20,"68,47%","76,01%","83,41%","27,06%","30,00%","8,33%","35,71%","61,41%","67,00%"
21-02-22,"70,78%","80,82%","89,51%","21,69%","40,00%","11,11%","31,03%","62,58%","69,03%"
21-02-24,"69,97%","77,59%","84,41%","26,23%","50,00%","7,14%","26,92%","64,90%","68,85%"
21-02-28,"62,01%","71,56%","79,53%","22,73%","30,00%","28,00%","5,56%","62,59%","62,13%"
21-03-02,"58,34%","67,43%","75,10%","18,75%","20,00%","23,08%","9,09%","49,64%","56,49%"
21-03-04,"55,07%","63,91%","70,50%","23,26%","10,00%","29,17%","15,79%","61,84%","56,19%"
21-03-07,"49,90%","56,58%","60,66%","9,72%","20,00%","85,19%","47,37%","70,11%","53,03%"
21-03-09,"47,59%","53,54%","58,49%","25,00%","20,00%","10,34%","36,84%","59,47%","49,56%"
21-03-11,"53,33%","54,85%","56,75%","27,69%","20,00%","82,76%","35,00%","62,20%","54,76%"
21-03-13,"49,01%","50,44%","51,96%","26,15%","20,00%","79,31%","5,00%","64,90%","51,39%"
21-03-15,"50,76%","52,45%","53,26%","36,92%","30,00%","75,86%","15,00%","58,93%","52,10%"
21-03-17,"52,05%","53,85%","55,01%","33,85%","30,00%","79,31%","25,00%","67,88%","54,61%"
21-03-19,"49,44%","50,88%","52,21%","32,31%","20,00%","73,33%","25,00%","57,95%","50,97%"
21-03-21,"53,23%","55,16%","57,23%","30,77%","20,00%","76,67%","30,00%","61,36%","54,72%"
21-03-23,"57,65%","59,95%","63,78%","29,23%","20,00%","60,00%","30,00%","57,58%","57,64%"
